player_name,player_id,,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Shaq Buchanan,buchash01,2022,23,10,-3.807660329,0.169526887,-3.638133441,-8.801694722,-8.373873114,-17.17556784,-5.14595526,-1.66514031,-6.81109557,-0.02173111,-0.02173111,0,-5.375721779,-1.92630606,-7.302027839,4.881484963
Reggie Bullock,bullore01,2022,5182,2609,-0.604866887,-0.750504537,-1.355371424,1.578301123,2.474413574,4.052714698,-0.21231413,-0.147103445,-0.359417575,3.184023024,2.369458925,0.814564099,-0.173954436,0.473569895,0.299615459,-0.654459536
Trey Burke,burketr01,2022,994,478,-1.393683495,-0.80977605,-2.203459545,-4.683819768,0.862556203,-3.821263565,-2.197735988,-0.530237372,-2.727973359,-0.001570935,-0.179230612,0.177659677,-1.627813748,-1.647856187,-3.275669935,-0.59669306
Alec Burks,burksal01,2022,4683,2318,0.90422332,0.930563506,1.834786825,1.382818622,3.2006012,4.583419822,1.071192011,1.44183446,2.513026471,6.171371348,6.171371348,0,1.064479465,1.97439188,3.038871345,-0.850133748
Jared Butler,butleja02,2022,775,365,-1.990890519,0.588274907,-1.402615611,-0.743610258,-1.676738815,-2.420349073,-1.946417056,0.104461281,-1.841955775,0.172866286,0.192566091,-0.019699805,-1.918541268,-1.008792478,-2.927333745,0.827002353
Jimmy Butler,butleji01,2022,5119,2560,5.002795179,1.166028269,6.168823449,2.378540433,1.479648189,3.858188622,4.738007859,1.266305635,6.004313494,11.58011597,6.701067793,4.879048176,3.966985432,1.788802255,5.755787687,-0.498008129
Devontae Cacok,cacokde01,2022,263,121,2.32774137,3.536918856,5.864660226,-1.807818037,4.536728848,2.728910812,1.624247793,3.972384715,5.596632508,0.515405156,0.515405156,0,2.040629183,3.155065467,5.195694649,0.025710461
Kentavious Caldwell-Pope,caldwke01,2022,4817,2329,-0.816760179,0.208690365,-0.608069815,-1.491687619,-1.542057923,-3.033745543,-0.990411825,-0.11902498,-1.109436806,1.955177919,1.955177919,0,-0.932038559,-0.015196044,-0.947234603,0.295954004
Facundo Campazzo,campafa01,2022,2478,1197,-0.760835384,1.719487479,0.958652095,-8.70520413,-0.15084551,-8.85604964,-2.475033232,1.432098696,-1.042934536,1.0316052,1.18720577,-0.15560057,-1.853345534,1.034014559,-0.819330975,-0.096193763
Vlatko Cancar,cancavl01,2022,407,185,-2.68930704,-1.299089333,-3.988396373,-3.308224135,4.563730174,1.255506038,-2.978061935,-0.141569494,-3.119631429,-0.034466183,-0.010643327,-0.023822857,-3.087393218,-2.747291503,-5.834684721,0.600155039
